,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
176,2006,200000,100000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5
177,2017,280000,31000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
178,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
179,2006,189000,93000,Petrol,Individual,Manual,Second Owner,16.1,1197,85.0,5
180,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
181,2017,750000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
182,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5
183,2015,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7
184,2010,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,5
185,2012,420000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
186,2013,200000,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,8
187,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
188,2010,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
189,2010,325000,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,5
190,2008,150000,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
191,2017,380000,28000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,5
192,2010,217000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5
193,2018,750000,15000,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5
194,2015,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5
195,2019,430000,20000,CNG,Individual,Manual,First Owner,32.26,998,58.3,4
196,2016,270000,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,5
197,2005,245000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
198,2019,1200000,40000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5
199,2014,500000,50000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,9
200,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
201,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
202,2013,500000,32000,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,5
203,2012,220000,111000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
204,2014,500000,132000,Diesel,Dealer,Manual,Second Owner,22.7,1498,89.84,5
205,2013,229999,46000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,5
206,2014,434999,50000,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5
207,2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
208,2012,200000,80000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5
209,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5
210,2017,285000,25000,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,5
211,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
212,2018,900000,12000,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6
213,2016,490000,100000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5
214,2012,246000,35000,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,5
215,2006,430000,264000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
216,2012,415000,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
217,2018,690000,13000,Petrol,Individual,Manual,First Owner,20.4,1194,94.93,5
218,2018,358000,44000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7
219,2013,170000,70000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5
220,2010,180000,55000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
221,2018,885000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,5
222,2014,229999,60000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5
223,2016,535000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5
224,2014,450000,46000,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,5
225,2014,560000,90000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,5
226,2011,200000,43500,Petrol,Individual,Manual,Second Owner,18.06,1198,75.0,5
227,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
228,2011,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
229,2014,235000,25000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
230,2017,750000,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
231,2018,540000,30000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5
232,2012,370000,120000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,5
233,2014,430000,90000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5
234,2016,675000,52000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
235,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5
236,2008,60000,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,52.8,5
237,2011,350000,93500,Petrol,Dealer,Manual,Third Owner,17.0,1497,118.0,5
238,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
239,2017,1600000,33000,Petrol,Dealer,Automatic,Second Owner,14.7,1798,177.5,5
240,2009,90000,60000,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,5
241,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
242,2013,425000,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5
243,2017,889000,25000,Petrol,Individual,Manual,First Owner,17.0,1497,121.31,5
244,2018,3251000,17601,Diesel,Dealer,Automatic,First Owner,16.25,1968,148.0,7
245,2019,380000,14000,Petrol,Individual,Automatic,First Owner,23.95,998,67.05,5
246,2015,300000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
247,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
248,2013,600000,60000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
249,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7
250,2009,525000,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494,102.0,8
251,2014,575000,106000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
252,2017,655000,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
253,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
254,2010,250000,190000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,5
255,2014,655000,50000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,9
256,2009,150000,90000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7
257,2014,521000,86000,Diesel,Individual,Manual,Second Owner,14.0,2179,138.1,7
258,2016,300000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
259,2019,525000,9200,Petrol,Individual,Automatic,First Owner,23.84,1199,83.83,5
260,2015,599000,92651,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5
261,2017,600000,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5
262,2011,475000,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
263,2019,600000,10000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5
264,2006,114999,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4
265,2009,220000,125000,Petrol,Individual,Manual,Second Owner,13.5,1799,130.0,5
266,2011,340000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
267,2018,350000,50000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
268,2017,320000,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
269,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
270,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
271,2011,600000,43000,Petrol,Dealer,Automatic,First Owner,13.4,1997,135.1,5
272,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
273,2016,270000,30000,Petrol,Individual,Manual,Third Owner,23.01,999,67.0,5
274,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5
275,2017,570000,31596,Petrol,Dealer,Manual,First Owner,17.0,1497,121.36,5
276,2017,1100000,20000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.6,5
277,2012,700000,60000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7
278,2015,350000,52000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
279,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
280,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5
281,2012,500000,110000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
282,2018,680000,8576,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,5
283,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
284,2008,120000,93331,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
285,2008,130000,30000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
286,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
287,2010,210000,44500,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5
288,2011,750000,291000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7
289,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
290,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
291,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5
292,2017,600000,100000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
293,2013,175000,120000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,5
294,2016,500000,30000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
295,2003,85000,68300,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,5
296,2012,425000,56000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5
297,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7
298,2011,229999,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7
299,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
300,2015,1147000,56975,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
301,2013,3750000,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993,241.0,4
302,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5
303,2009,125000,80000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
304,2017,675000,70000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
305,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5
306,2019,740000,14000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
307,2004,70000,70000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
308,2014,465000,90000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5
309,2015,400000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
310,2016,520000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
311,2014,325000,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1,998,67.04,5
312,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4,1497,117.6,5
313,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
314,2015,555000,20000,Petrol,Individual,Manual,Second Owner,15.8,1499,110.0,5
315,2013,219000,50000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
316,2012,140000,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396,69.0,5
317,2018,575000,70000,Diesel,Individual,Manual,First Owner,20.65,1248,88.7,5
318,2015,600000,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
319,2017,550000,70000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,5
320,2017,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
321,2016,890000,40000,Petrol,Dealer,Automatic,First Owner,14.8,1591,121.3,5
322,2016,520000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
